Gross,Lead male,Lead female,Age Lead,Difference in words lead and co-lead,Year,Number words female,Number of male actors,Age women,Number of female actors,Title,Total words,Number words male,Age Co-Lead,Age men,Lead,Number of words lead,Mean Age Male,Mean Age Female
168.0,Z,Princess Bala,63.0,3250,1998,2796,6,"[40.0, 67.0]",3,Antz,11976,3814,40.0,"[52.0, 37.0, 68.0, 52.0, 63.0]",Male,5366.0,54.4,53.5
16.0,Captain Benjami,Roxanne Sarraul,39.0,8046,1979,564,15,[34.0],1,Apocalypse Now,19904,10730,34.0,"[39.0, 42.0, 55.0, 62.0, 43.0, 40.0, 27.0, 24.0, 48.0, 38.0, 24.0, 27.0, 18.0]",Male,8610.0,37.46153846153846,34.0
16.0,Kurt Dussander,Monica Bowden,59.0,10894,1998,614,10,"[21.0, 42.0]",2,Apt Pupil,28042,16052,42.0,"[37.0, 55.0, 51.0, 32.0, 62.0, 20.0, 59.0, 16.0, 75.0]",Male,11376.0,45.22222222222222,31.5
8.0,Robert Miller,Ellen Miller,63.0,3318,2012,2198,12,"[30.0, 66.0, 34.0]",3,Arbitrage,11507,4722,66.0,"[57.0, 51.0, 54.0, 47.0, 63.0, 77.0, 33.0, 48.0, 65.0, 63.0, 72.0]",Male,4587.0,57.27272727272727,43.333333333333336
374.0,Harry Stamper,Grace Stamper,43.0,2041,1998,379,13,"[33.0, 21.0]",2,Armageddon,6942,4262,21.0,"[41.0, 44.0, 42.0, 43.0, 42.0, 43.0, 45.0, 36.0, 35.0]",Male,2301.0,41.22222222222222,27.0
24.0,Lord Arthur,Sheila,34.0,352,1992,440,2,[27.0],1,Army of Darkness,1954,722,27.0,"[34.0, 58.0]",Male,792.0,46.0,27.0
298.0,Hobson,Linda Marolla,35.0,1295,1981,1661,3,"[35.0, 34.0]",4,Arthur,7334,2493,77.0,"[63.0, 77.0, 58.0]",Female,3180.0,66.0,34.5
280.0,Melvin Udall,Carol Connelly,60.0,1588,1997,7906,8,"[34.0, 33.0, 55.0]",3,As Good as It Gets,23766,6886,34.0,"[48.0, 53.0, 29.0, 49.0, 60.0, 34.0, 27.0]",Male,8974.0,42.857142857142854,40.666666666666664
60.0,Robert Rath,Electra,49.0,4248,1995,4380,3,"[35.0, 30.0]",3,Assassins,16724,4092,35.0,"[47.0, 35.0, 49.0]",Male,8252.0,43.666666666666664,32.5
38.0,Virgil Adamson,Jennie Adamson,40.0,7774,1999,1416,7,[42.0],2,At First Sight,14730,4286,42.0,"[53.0, 38.0, 12.0, 43.0, 40.0, 55.0]",Male,9028.0,40.166666666666664,42.0
882.0,Jake Sully,Dr. Grace Augus,33.0,2236,2009,5962,10,"[60.0, 57.0, 31.0, 31.0]",4,Avatar,15494,3970,60.0,"[36.0, 62.0, 33.0, 32.0, 35.0, 46.0, 35.0, 46.0]",Male,5562.0,40.625,44.75
680.0,Tony Stark,Natasha Romanof,47.0,1432,2012,1723,12,"[28.0, 40.0]",2,The Avengers,11625,7096,28.0,"[74.0, 41.0, 31.0, 64.0, 55.0, 86.0, 61.0, 31.0, 46.0, 29.0, 47.0, 51.0]",Male,2806.0,51.333333333333336,34.0
45.0,Richard,Amelia,43.0,424,2006,4118,22,"[50.0, 25.0, 8.0, 37.0]",6,Babel,15406,8274,50.0,"[49.0, 30.0, 49.0, 40.0, 8.0, 43.0, 28.0, 56.0, 50.0]",Male,3014.0,39.22222222222222,30.0
41.0,Stan,Zoe,41.0,2193,2010,2784,2,"[40.0, 39.0, 73.0, 31.0, 41.0]",7,The Back-up Plan,11504,3414,34.0,"[68.0, 34.0]",Female,5306.0,51.0,44.8
160.0,Brian Mccaffrey,Jennifer Vaitku,28.0,3944,1991,2798,13,"[32.0, 29.0, 48.0]",3,Backdraft,22642,13950,29.0,"[28.0, 48.0, 50.0, 32.0, 56.0, 42.0, 40.0, 26.0]",Male,5894.0,40.25,36.333333333333336
86.0,Marcus,Sue,45.0,2246,2003,484,5,[36.0],1,Bad Santa,5888,2674,36.0,"[55.0, 44.0, 31.0, 45.0, 10.0]",Male,2730.0,37.0,36.0
109.0,Principal Wally,Elizabeth Halse,39.0,6002,2011,3694,9,"[34.0, 32.0, 39.0, 60.0, 47.0, 15.0]",7,Bad Teacher,15124,4342,48.0,"[41.0, 15.0, 40.0, 43.0, 48.0, 53.0, 30.0, 15.0]",Female,7088.0,35.625,37.833333333333336
38.0,Hardy,Osborne,49.0,2740,2003,2078,6,"[30.0, 38.0]",2,Basic,12490,5720,38.0,"[49.0, 29.0, 29.0, 32.0, 47.0, 55.0]",Male,4692.0,40.166666666666664,34.0
5.0,Jean Michel Bas,Gina Cardinale,31.0,3664,1996,2094,8,"[30.0, 33.0, 25.0, 28.0]",5,Basquiat,11796,5052,25.0,"[49.0, 29.0, 60.0, 31.0, 38.0, 53.0]",Male,4650.0,43.333333333333336,29.0
202.0,Mr. Freeze,Dr. Pamela Isle,50.0,800,1997,3126,7,"[21.0, 27.0, 33.0]",4,Batman & Robin,8768,3400,27.0,"[57.0, 36.0, 73.0, 53.0, 50.0, 47.0, 27.0]",Male,2242.0,49.0,27.0
278.0,Wayne,Rachel Dawes,31.0,1091,2005,922,14,[27.0],1,Batman Begins,7074,4139,27.0,"[57.0, 29.0, 53.0, 61.0, 44.0, 50.0, 47.0, 44.0, 68.0, 46.0, 41.0, 31.0, 36.0]",Male,2013.0,46.69230769230769,27.0
368.0,Bruce Wayne,Dr. Chase Merid,36.0,1242,1995,2082,7,"[28.0, 34.0]",2,Batman Forever,10928,5636,28.0,"[36.0, 71.0, 25.0, 33.0, 46.0, 34.0, 49.0]",Male,3210.0,42.0,31.0
85.0,David Langley,Jennifer Langle,43.0,4538,1997,902,9,[25.0],2,Bean,10334,4432,25.0,"[43.0, 47.0, 39.0, 9.0, 51.0, 53.0, 42.0]",Male,5000.0,40.57142857142857,25.0
6.0,Oliver,Anna,39.0,3809,2010,2502,3,"[27.0, 49.0, 33.0]",3,Beginners,10811,2569,27.0,"[81.0, 39.0]",Male,5740.0,60.0,36.333333333333336
39.0,Craig Schwartz,Lotte Schwartz,33.0,1007,1999,3931,5,"[52.0, 27.0, 40.0]",4,Being John Malkovich,10173,3304,27.0,"[33.0, 42.0, 30.0, 71.0, 46.0]",Male,2938.0,44.4,39.666666666666664
0.0,Danny Balint,Carla Moebius,21.0,6960,2001,3332,16,"[23.0, 44.0, 28.0, 26.0]",5,The Believer,16552,4510,23.0,"[37.0, 21.0, 49.0, 30.0, 23.0, 22.0, 26.0, 54.0, 33.0, 38.0]",Male,8710.0,33.3,30.25
42.0,Paul D,Sethe,44.0,3698,1998,8758,4,"[78.0, 26.0, 31.0, 76.0, 44.0]",8,Beloved,27036,8692,52.0,"[32.0, 52.0, 58.0, 61.0]",Female,9586.0,50.75,51.0
48.0,Sam,Joon Pearl,27.0,822,1993,548,5,"[27.0, 33.0]",2,Benny & Joon,4554,2476,30.0,"[33.0, 49.0, 43.0, 30.0, 53.0]",Female,1530.0,41.6,30.0
50.0,Sonny Kapoor,Evelyn,77.0,226,2011,3723,7,"[77.0, 59.0, 57.0, 77.0]",5,The Best Exotic Marigold Hotel,16019,9259,21.0,"[62.0, 71.0, 21.0]",Female,3037.0,51.333333333333336,67.5
243.0,Josh,Susan,32.0,3076,1988,2586,4,[28.0],1,Big,11154,2906,28.0,"[14.0, 32.0, 43.0, 31.0]",Male,5662.0,30.0,28.0
32.0,The Dude,Maude Lebowski,49.0,3804,1998,830,8,[38.0],1,The Big Lebowski,10197,4733,38.0,"[48.0, 41.0, 57.0, 49.0, 54.0, 41.0, 46.0]",Male,4634.0,48.0,38.0
7.0,John,"Sophia, Alias N",31.0,1978,2001,2682,4,[34.0],2,Birthday Girl,10468,3256,34.0,"[29.0, 31.0, 31.0, 34.0]",Male,4530.0,31.25,34.0
12.0,Lazarus,Rae,58.0,4414,2006,5730,8,"[27.0, 26.0, 50.0, 42.0]",7,Black Snake Moan,20784,6580,26.0,"[59.0, 45.0, 29.0, 58.0, 25.0]",Male,8474.0,43.2,36.25
117.0,Thomas Leroy,Nina Sayers,44.0,598,2010,2313,1,"[62.0, 29.0, 23.0]",3,Black Swan,4260,0,29.0,[44.0],Male,1947.0,44.0,38.0
129.0,Deacon Frost,Karen,25.0,1362,1998,3548,6,"[28.0, 27.0, 30.0, 27.0]",4,Blade,10974,3282,28.0,"[36.0, 25.0, 54.0, 39.0, 32.0, 62.0]",Male,4144.0,41.333333333333336,28.0
122.0,Blade,Nyssa,40.0,1198,2002,2064,9,[30.0],2,Blade II,11254,6064,30.0,"[40.0, 30.0, 40.0, 34.0, 52.0, 37.0, 33.0, 66.0]",Male,3126.0,41.5,30.0
4.0,Rick Deckard,Rachael,40.0,3052,1982,2078,8,"[22.0, 23.0]",2,Blade Runner,13086,6322,23.0,"[55.0, 53.0, 38.0, 38.0, 37.0, 40.0, 38.0, 47.0]",Male,4686.0,43.25,22.5
45.0,Calvin,Eve,23.0,2752,1999,2548,9,"[23.0, 50.0]",3,Blast from the Past,16440,7764,56.0,"[27.0, 56.0, 28.0, 43.0, 45.0, 31.0, 30.0, 36.0]",Female,6128.0,37.0,36.5
296.0,Michael Oher,Leigh Anne Tuoh,45.0,3680,2009,2273,9,"[44.0, 20.0, 53.0, 45.0, 61.0, 44.0]",9,The Blind Side,14812,6922,25.0,"[52.0, 55.0, 25.0, 57.0, 42.0]",Female,5617.0,46.2,44.5
6.0,Marc,Nicki,23.0,100,2013,2500,3,"[41.0, 23.0, 19.0]",6,The Bling Ring,5480,1582,19.0,"[71.0, 19.0, 48.0]",Female,1398.0,46.0,27.666666666666668
2.0,Jason,Gabriela 'Gabby,23.0,1577,1996,3925,6,"[27.0, 41.0]",3,Blood and Wine,10327,2795,27.0,"[33.0, 23.0, 56.0, 46.0, 59.0, 63.0]",Male,3607.0,46.666666666666664,34.0
20.0,Jeffrey Beaumon,Sandy Williams,27.0,5006,1986,7582,8,"[34.0, 62.0, 53.0, 19.0]",4,Blue Velvet,20292,4116,19.0,"[50.0, 64.0, 53.0, 50.0, 27.0]",Male,8594.0,48.8,42.0
1.0,Nick,Carol,32.0,2492,1993,2366,2,"[30.0, 18.0]",3,"Bodies, Rest & Motion",9748,2938,30.0,"[32.0, 32.0]",Male,4444.0,32.0,24.0
11.0,Patrick,Pearl,37.0,189,2001,1463,7,"[52.0, 20.0]",2,Bones,6708,3778,52.0,"[39.0, 45.0, 30.0, 39.0, 37.0]",Male,1467.0,38.0,36.0
50.0,Dirk Diggler,Rollergirl,26.0,3712,1997,2680,16,"[27.0, 47.0, 37.0, 41.0, 38.0, 27.0, 26.0]",7,Boogie Nights,16610,9562,27.0,"[52.0, 33.0, 26.0, 66.0, 61.0, 35.0, 47.0, 41.0, 32.0, 30.0, 28.0, 66.0, 28.0, 27.0]",Male,4368.0,40.857142857142854,34.714285714285715
104.0,Eli,Solara,56.0,4028,2010,4598,6,"[47.0, 66.0, 27.0]",4,The Book of Eli,18994,7664,27.0,"[52.0, 56.0, 61.0, 70.0, 67.0, 46.0]",Male,6732.0,58.666666666666664,46.666666666666664
7.0,Johnnie Marzzon,Violet,38.0,5920,1996,4558,3,"[34.0, 38.0]",2,Bound,12346,1238,35.0,"[66.0, 35.0]",Female,6550.0,50.5,36.0
181.0,Conklin,Marie,28.0,502,2002,0,11,[28.0],1,The Bourne Identity,4432,3035,51.0,"[51.0, 48.0, 59.0, 53.0, 36.0, 32.0, 38.0, 56.0, 35.0, 30.0]",Female,1397.0,43.8,28.0
246.0,Jason Bourne,Pamela Landy,48.0,270,2004,1750,10,"[17.0, 30.0, 23.0, 48.0]",4,The Bourne Supremacy,9756,5708,34.0,"[42.0, 38.0, 34.0, 32.0, 49.0, 35.0, 48.0, 58.0]",Female,2298.0,42.0,29.5
287.0,Noah Vosen,Pam Landy,58.0,1904,2007,1996,8,"[26.0, 51.0]",2,The Bourne Ultimatum,9760,4248,51.0,"[66.0, 37.0, 58.0, 33.0, 36.0, 61.0, 46.0]",Male,3516.0,48.142857142857146,38.5
17.0,Arthur Lewis,Norma Lewis,37.0,1171,2009,1018,13,"[27.0, 37.0]",5,The Box,13679,8671,36.0,"[71.0, 36.0, 57.0, 61.0]",Female,3990.0,56.25,32.0
93.0,John Bender,Claire Standish,26.0,1600,1985,2974,5,[17.0],1,The Breakfast Club,16586,9038,17.0,"[23.0, 17.0, 29.0, 26.0, 46.0]",Male,4574.0,28.2,17.0
2.0,Brendan,Laura,24.0,7486,2005,3234,6,"[24.0, 24.0, 24.0]",3,Brick,19038,6702,24.0,"[30.0, 24.0, 22.0, 18.0, 29.0, 21.0]",Male,9102.0,24.0,24.0
185.0,Rhodes,Annie,38.0,2702,2011,4995,4,"[38.0, 31.0, 31.0, 32.0, 39.0, 41.0, 42.0]",8,Bridesmaids,10911,1901,32.0,"[53.0, 37.0, 32.0, 40.0]",Female,4015.0,40.5,36.285714285714285
113.0,Tom Grunick,Jane Craig,37.0,16,1987,9556,8,"[25.0, 25.0, 29.0, 40.0]",4,Broadcast News,21702,4288,29.0,"[50.0, 57.0, 45.0, 63.0, 37.0]",Male,7858.0,50.4,29.75
5.0,Harry Caine,Judit Garc�A,46.0,348,2009,1554,4,"[46.0, 46.0, 45.0]",3,Broken Embraces,14800,8600,52.0,"[23.0, 69.0, 52.0, 29.0]",Female,4646.0,43.25,45.666666666666664
4.0,Stephen,Penelope,41.0,1292,2008,4408,4,"[38.0, 27.0]",2,The Brothers Bloom,13410,3534,38.0,"[58.0, 78.0, 60.0, 41.0]",Male,5468.0,59.25,32.5
34.0,Merrick,Buffy,23.0,1787,1992,1780,11,"[23.0, 45.0, 22.0, 18.0, 31.0]",6,Buffy the Vampire Slayer,11161,5980,57.0,"[22.0, 21.0, 23.0, 41.0, 28.0, 24.0, 48.0, 57.0, 26.0, 23.0]",Female,3401.0,31.3,27.8
107.0,Crash Davis,Millie,33.0,4266,1988,344,13,[25.0],1,Bull Durham,9886,4932,25.0,"[26.0, 33.0, 32.0, 30.0, 31.0, 37.0, 40.0]",Male,4610.0,32.714285714285715,25.0
1.0,Paul Conroy,Linda Conroy,34.0,9134,2010,633,6,[40.0],2,Buried,14333,4247,40.0,"[59.0, 38.0, 34.0, 42.0]",Male,9453.0,43.25,40.0
43.0,Jack,Ali,30.0,2969,2010,4600,6,"[30.0, 22.0, 22.0, 52.0, 30.0, 64.0]",7,Burlesque,17588,6800,28.0,"[28.0, 55.0, 28.0, 38.0, 50.0, 55.0]",Female,6188.0,42.333333333333336,36.666666666666664
38.0,Truman Capote,Nelle Harper Le,38.0,8217,2005,3472,10,"[79.0, 37.0, 46.0]",5,Capote,21587,7781,46.0,"[40.0, 49.0, 35.0, 38.0, 63.0, 60.0]",Male,10334.0,47.5,54.0
209.0,Mater,Holley Shiftwel,48.0,2651,2011,1511,15,"[40.0, 50.0]",2,Cars 2,12446,6934,40.0,"[64.0, 72.0, 78.0, 54.0, 64.0, 48.0, 43.0, 58.0, 48.0, 49.0, 49.0, 49.0, 70.0]",Male,4001.0,57.38461538461539,45.0
15.0,Doug,Emily Jenkins,40.0,2578,2009,1842,4,"[40.0, 15.0, 47.0]",4,Case 39,7279,2035,34.0,"[34.0, 49.0, 41.0]",Female,3402.0,41.333333333333336,34.0
84.0,Sam 'Ace' Roths,Ginger Mckenna,52.0,19138,1995,9604,26,"[37.0, 39.0, 83.0]",9,Casino,67548,31146,37.0,"[47.0, 69.0, 47.0, 47.0, 42.0, 56.0, 56.0, 61.0, 48.0, 52.0, 68.0, 38.0, 74.0, 52.0, 55.0, 56.0, 62.0]",Male,26798.0,54.705882352941174,53.0
245.0,Frank Abagnale ,Brenda Strong,28.0,4115,2002,1688,6,"[28.0, 28.0, 54.0]",4,Catch Me If You Can,10500,3972,28.0,"[46.0, 59.0, 28.0, 35.0]",Male,4840.0,42.0,36.666666666666664
2.0,Cecil,Cherish,27.0,2249,2000,2009,12,"[25.0, 46.0, 43.0, 32.0, 23.0]",8,Cecil B. DeMented,7613,2600,25.0,"[27.0, 21.0, 29.0, 24.0, 26.0, 31.0]",Male,3004.0,26.333333333333332,33.8
3.0,Jesse,Celeste,36.0,4100,2012,732,7,"[36.0, 21.0, 28.0]",4,Celeste & Jesse Forever,12522,5056,34.0,"[34.0, 34.0, 40.0, 38.0, 31.0, 38.0, 35.0]",Female,6734.0,35.714285714285715,28.333333333333332
98.0,Peter Novak,Catherine Deane,30.0,110,2000,4532,9,"[31.0, 33.0]",2,The Cell,10958,3536,31.0,"[41.0, 37.0, 49.0, 40.0, 36.0, 41.0, 62.0, 30.0, 60.0]",Male,2890.0,44.0,32.0
40.0,Mitch Planko,Jamie Lockwood,35.0,6652,2011,2465,5,"[39.0, 60.0, 27.0]",5,The Change-Up,18752,8079,39.0,"[42.0, 63.0, 35.0, 69.0, 47.0]",Male,8208.0,51.2,42.0
201.0,Eric Knox,Dylan Sanders,25.0,1278,2000,2432,4,"[25.0, 28.0]",2,Charlie's Angels,8820,3608,32.0,"[32.0, 33.0, 50.0, 29.0]",Female,2780.0,36.0,26.5
22.0,Holden Mcneil,Con Woman,25.0,9076,1997,758,8,[32.0],3,Chasing Amy,21332,11112,32.0,"[27.0, 21.0, 25.0, 23.0, 27.0]",Male,9462.0,24.6,32.0
6.0,Dante Hicks,Veronica,25.0,7732,1994,6956,8,"[22.0, 24.0, 33.0]",5,Clerks,30626,12520,33.0,"[25.0, 20.0, 24.0, 26.0, 26.0, 27.0]",Male,11150.0,24.666666666666668,26.333333333333332
176.0,Gabe Walker,Jessie Deighan,47.0,630,1993,1872,8,"[31.0, 34.0]",3,Cliffhanger,8196,4139,31.0,"[25.0, 65.0, 47.0, 38.0, 31.0, 48.0, 37.0, 54.0]",Male,2185.0,43.125,32.5
113.0,Josh,Cher,19.0,480,1995,2988,6,"[19.0, 28.0, 48.0, 41.0, 18.0]",5,Clueless,10214,5146,26.0,"[21.0, 26.0, 55.0, 21.0, 21.0]",Female,2080.0,28.8,30.8
137.0,Inman,Ruby Thewes,34.0,576,2003,3248,14,"[19.0, 43.0, 69.0, 45.0, 27.0, 34.0, 53.0, 22.0]",8,Cold Mountain,19270,11568,31.0,"[75.0, 23.0, 55.0, 63.0, 31.0, 29.0, 21.0, 27.0, 36.0, 26.0, 48.0, 46.0]",Female,4454.0,40.0,39.0
140.0,Vincent,Ida,42.0,4944,2004,476,13,"[69.0, 40.0]",2,Collateral,10244,4450,69.0,"[50.0, 37.0, 35.0, 39.0, 54.0, 40.0, 32.0, 42.0, 35.0]",Male,5318.0,40.44444444444444,54.5
41.0,Bill Capa,Rose,39.0,4030,1994,4368,9,"[58.0, 30.0, 21.0, 48.0]",4,Color of Night,17663,7231,21.0,"[39.0, 40.0, 54.0, 31.0, 44.0, 24.0]",Male,6064.0,38.666666666666664,39.25
23.0,Conan,Tamara,32.0,262,2011,2009,10,[31.0],1,Conan the Barbarian,8202,3922,31.0,"[32.0, 61.0, 48.0, 38.0]",Male,2271.0,44.75,31.0
17.0,Jake Vig,Lily,35.0,4128,2003,1170,12,[33.0],1,Confidence,11424,4956,33.0,"[36.0, 40.0, 47.0, 45.0, 35.0, 66.0, 38.0, 34.0, 62.0, 34.0]",Male,5298.0,43.7,33.0
11.0,Shelly Kaplow,Natalie Belisar,45.0,1486,2003,3662,11,"[25.0, 36.0]",2,The Cooler,13154,4732,36.0,"[64.0, 36.0, 28.0, 59.0, 45.0]",Male,4760.0,46.4,30.5
64.0,Reuben Goetz,Helen Hudson,46.0,5750,1995,7932,9,"[46.0, 37.0]",4,Copycat,24388,8310,32.0,"[28.0, 49.0, 41.0, 30.0, 32.0]",Female,8146.0,36.0,41.5
0.0,Menenius,Volumnia,65.0,195,2011,2623,8,"[80.0, 34.0, 74.0]",4,Coriolanus,8659,3965,74.0,"[69.0, 65.0, 41.0, 65.0, 46.0, 42.0, 51.0]",Male,2071.0,54.142857142857146,62.666666666666664
115.0,Lt. Col. Nathan,Meredith Serlin,42.0,2447,1996,713,11,"[57.0, 36.0]",2,Courage Under Fire,11249,7604,36.0,"[32.0, 27.0, 56.0, 42.0, 34.0, 25.0, 34.0, 28.0, 26.0]",Male,2932.0,33.77777777777778,46.5
109.0,Jake Lonergan,Ella Swenson,43.0,985,2011,2763,15,"[27.0, 34.0]",3,Cowboys & Aliens,14320,8197,27.0,"[43.0, 40.0, 43.0, 41.0, 52.0, 39.0, 27.0, 62.0]",Male,3360.0,43.375,30.5
36.0,Chev Chelios,Eve,39.0,1892,2006,613,5,[30.0],1,Crank,4926,1808,30.0,"[39.0, 50.0, 37.0, 27.0]",Male,2505.0,38.25,30.0
11.0,Jack Manfred,Jani De Villier,34.0,6710,1998,3360,7,"[35.0, 34.0]",2,Croupier,15960,4150,35.0,"[29.0, 53.0, 36.0, 34.0, 28.0]",Male,8450.0,36.0,34.5
105.0,Eric Draven,Shelly Webster,32.0,1792,1994,984,9,"[41.0, 26.0]",2,The Crow,7086,3572,26.0,"[32.0, 44.0, 49.0, 43.0, 36.0, 41.0]",Male,2530.0,40.833333333333336,33.5
65.0,Sebastian Valmo,Kathryn Merteui,25.0,3328,1999,7214,4,"[27.0, 55.0, 22.0, 53.0]",4,Cruel Intentions,17732,1800,22.0,"[21.0, 28.0, 29.0, 25.0]",Male,8718.0,25.75,39.25
0.0,Nigel Clough,Barbara Clough,11.0,11058,2009,196,12,[42.0],1,The Damned United,17220,5770,42.0,"[36.0, 44.0, 56.0, 25.0, 37.0, 59.0, 11.0, 52.0, 65.0, 60.0]",Male,11254.0,44.5,42.0
378.0,Lieutenant Dunb,Stands With A F,35.0,2372,1990,1260,16,"[6.0, 38.0]",2,Dances with Wolves,15296,10514,38.0,"[38.0, 35.0, 41.0, 41.0, 13.0, 42.0, 14.0, 50.0, 54.0, 36.0, 31.0]",Male,3522.0,35.90909090909091,22.0
645.0,Joker,Rachel,29.0,3872,2008,3246,29,"[45.0, 27.0, 31.0, 31.0, 38.0]",5,The Dark Knight,31648,22422,31.0,"[52.0, 34.0, 41.0, 41.0, 50.0, 40.0, 10.0, 29.0, 39.0, 47.0, 28.0, 71.0, 52.0, 41.0, 40.0, 29.0, 32.0, 56.0, 31.0, 50.0]",Male,5980.0,40.65,34.4
108.0,Phil Foster,Claire Foster,48.0,1841,2010,5690,8,"[40.0, 33.0]",5,Date Night,15500,3007,40.0,"[54.0, 39.0, 10.0, 48.0]",Male,6803.0,37.75,36.5
210.0,John Keating,Chris Noel,38.0,5772,1989,1036,13,"[22.0, 29.0]",3,Dead Poets Society,23252,15644,22.0,"[29.0, 43.0, 60.0, 20.0, 38.0, 18.0, 46.0, 75.0, 46.0, 20.0, 18.0, 19.0]",Male,6572.0,36.0,25.5
47.0,Norman,Elaine,42.0,86,2010,3745,10,"[61.0, 32.0, 40.0]",3,Death at a Funeral,14573,8770,32.0,"[31.0, 39.0, 65.0, 41.0, 28.0, 42.0, 37.0, 54.0, 45.0, 64.0]",Male,2058.0,44.6,44.333333333333336
34.0,Stephan Gold (T,Rachel Singer (,62.0,203,2010,2072,2,"[65.0, 26.0]",2,The Debt,5100,1153,65.0,"[62.0, 62.0]",Male,1875.0,62.0,45.5
20.0,John Finnegan,Trillian St. Ja,47.0,1019,1998,667,8,[34.0],1,Deep Rising,4968,2615,34.0,"[51.0, 35.0, 47.0, 30.0, 42.0, 32.0, 54.0, 34.0]",Male,1686.0,40.625,34.0
175.0,Colin Sullivan,Madolyn,36.0,4254,2006,2030,15,[33.0],1,The Departed,20724,12410,33.0,"[36.0, 50.0, 35.0, 48.0, 41.0, 69.0, 74.0, 66.0, 42.0, 28.0, 36.0]",Male,6284.0,47.72727272727273,33.0
393.0,Gru,Lucy,51.0,1635,2013,1801,5,"[32.0, 40.0, 20.0, 35.0]",5,Despicable Me 2,5708,1171,40.0,"[38.0, 50.0, 44.0, 51.0, 48.0]",Male,2736.0,46.2,31.75
7.0,Hawk,Mrs. Bruce,22.0,3814,1999,3556,16,"[24.0, 22.0, 25.0, 20.0, 56.0]",5,Detroit Rock City,21982,13154,56.0,"[30.0, 58.0, 22.0, 17.0, 33.0, 20.0, 14.0, 33.0, 46.0, 71.0, 25.0, 19.0]",Male,5272.0,32.333333333333336,29.4
32.0,Ezekiel 'Easy' ,Daphne Monet,41.0,8260,1995,2660,10,"[74.0, 26.0, 32.0, 45.0]",4,Devil in a Blue Dress,20938,8238,32.0,"[58.0, 51.0, 51.0, 34.0, 41.0, 31.0, 41.0]",Male,10040.0,43.857142857142854,44.25
115.0,Kevin Lomax,Mary Ann Lomax,33.0,6234,1997,4908,10,"[15.0, 32.0, 22.0, 39.0, 38.0]",6,The Devil's Advocate,22288,8962,22.0,"[51.0, 53.0, 66.0, 57.0, 79.0, 33.0, 52.0, 41.0]",Male,8418.0,54.0,29.2
172.0,Officer John Mc,Holly Gennaro M,33.0,3184,1988,1200,17,"[36.0, 40.0]",3,Die Hard,15294,9990,40.0,"[49.0, 51.0, 36.0, 33.0, 37.0, 42.0, 32.0, 59.0, 39.0, 33.0, 41.0, 36.0, 33.0, 29.0]",Male,4104.0,39.285714285714285,38.0
242.0,Lt. John Mcclan,Samantha 'Sam' ,35.0,2149,1990,1438,11,"[42.0, 34.0]",4,Die Hard 2,9399,5204,34.0,"[40.0, 68.0, 30.0, 49.0, 48.0, 35.0, 51.0, 52.0, 38.0, 48.0]",Male,2757.0,45.9,38.0
41.0,Robert 'Boogie',Beth Schreiber,30.0,1551,1982,1370,7,[28.0],4,Diner,8754,5089,28.0,"[24.0, 25.0, 25.0, 30.0, 24.0, 26.0]",Male,2295.0,25.666666666666668,28.0
52.0,Rufus,Bethany,41.0,1240,1999,4196,8,"[41.0, 24.0, 25.0, 35.0, 33.0]",5,Dogma,30524,20044,34.0,"[27.0, 62.0, 25.0, 29.0, 53.0, 34.0, 49.0]",Female,6284.0,39.857142857142854,31.6
1.0,Jim Cunningham,Dr. Lilian Thur,61.0,374,2001,2371,8,"[61.0, 24.0, 17.0, 26.0, 49.0, 11.0]",7,Donnie Darko,4484,1502,49.0,"[54.0, 29.0, 49.0, 30.0, 21.0, 20.0, 22.0]",Female,611.0,32.142857142857146,31.333333333333332
48.0,Rham Jas,Mrs. Ganush,36.0,1630,2009,5962,6,"[28.0, 66.0, 53.0, 59.0]",6,Drag Me to Hell,13814,4518,66.0,"[31.0, 44.0, 55.0, 36.0]",Male,3334.0,41.5,51.5
38.0,Shannon,Irene,55.0,334,2011,832,4,"[36.0, 26.0]",2,Drive,3558,1675,26.0,"[46.0, 61.0, 55.0, 32.0]",Male,1051.0,48.5,31.0
11.0,Milton,Piper,47.0,206,2011,1364,5,"[30.0, 25.0]",2,Drive Angry,4056,1232,25.0,"[76.0, 43.0, 45.0, 47.0, 58.0]",Male,1460.0,53.8,27.5
18.0,Documentarian,Amber Atkins,17.0,2766,1999,7826,9,"[17.0, 45.0, 58.0, 47.0, 44.0, 22.0, 48.0, 46.0, 22.0, 40.0, 25.0, 28.0, 41.0, 37.0]",16,Drop Dead Gorgeous,13630,2496,29.0,"[19.0, 29.0, 24.0, 44.0, 47.0, 68.0, 48.0]",Female,3308.0,39.857142857142854,37.142857142857146
8.0,Stanley Makhaya,Melanie Bruwer,55.0,600,1989,1716,10,"[43.0, 50.0, 24.0]",4,A Dry White Season,7020,3800,43.0,"[65.0, 48.0, 53.0, 46.0, 48.0, 47.0, 49.0, 49.0, 55.0]",Male,1504.0,51.111111111111114,39.0
264.0,Lloyd Christmas,Mary Swanson,32.0,6946,1994,1464,5,"[47.0, 31.0]",2,Dumb & Dumber,17728,8262,31.0,"[66.0, 39.0, 44.0, 32.0, 45.0]",Male,8002.0,45.2,39.0
