Number words female,Total words,Number of words lead,Difference in words lead and co-lead,Number of male actors,Year,Number of female actors,Number words male,Gross,Mean Age Male,Mean Age Female,Age Lead,Age Co-Lead,Lead
8758,27036,9586.0,3698,4,1998,8,8692,42.0,50.75,51.0,44.0,52.0,Female
548,4554,1530.0,822,5,1993,2,2476,48.0,41.6,30.0,27.0,30.0,Female
3723,16019,3037.0,226,7,2011,5,9259,50.0,51.333333333333336,67.5,77.0,21.0,Female
2586,11154,5662.0,3076,4,1988,1,2906,243.0,30.0,28.0,32.0,28.0,Male
830,10197,4634.0,3804,8,1998,1,4733,32.0,48.0,38.0,49.0,38.0,Male
2682,10468,4530.0,1978,4,2001,2,3256,7.0,31.25,34.0,31.0,34.0,Male
5730,20784,8474.0,4414,8,2006,7,6580,12.0,43.2,36.25,58.0,26.0,Male
2313,4260,1947.0,598,1,2010,3,0,117.0,44.0,38.0,44.0,29.0,Male
3548,10974,4144.0,1362,6,1998,4,3282,129.0,41.333333333333336,28.0,25.0,28.0,Male
2064,11254,3126.0,1198,9,2002,2,6064,122.0,41.5,30.0,40.0,30.0,Male
2078,13086,4686.0,3052,8,1982,2,6322,4.0,43.25,22.5,40.0,23.0,Male
2548,16440,6128.0,2752,9,1999,3,7764,45.0,37.0,36.5,23.0,56.0,Female
2273,14812,5617.0,3680,9,2009,9,6922,296.0,46.2,44.5,45.0,25.0,Female
2500,5480,1398.0,100,3,2013,6,1582,6.0,46.0,27.666666666666668,23.0,19.0,Female
3925,10327,3607.0,1577,6,1996,3,2795,2.0,46.666666666666664,34.0,23.0,27.0,Male
7582,20292,8594.0,5006,8,1986,4,4116,20.0,48.8,42.0,27.0,19.0,Male
2366,9748,4444.0,2492,2,1993,3,2938,1.0,32.0,24.0,32.0,30.0,Male
1463,6708,1467.0,189,7,2001,2,3778,11.0,38.0,36.0,37.0,52.0,Male
2680,16610,4368.0,3712,16,1997,7,9562,50.0,40.857142857142854,34.714285714285715,26.0,27.0,Male
4598,18994,6732.0,4028,6,2010,4,7664,104.0,58.666666666666664,46.666666666666664,56.0,27.0,Male
4558,12346,6550.0,5920,3,1996,2,1238,7.0,50.5,36.0,38.0,35.0,Female
0,4432,1397.0,502,11,2002,1,3035,181.0,43.8,28.0,28.0,51.0,Female
1750,9756,2298.0,270,10,2004,4,5708,246.0,42.0,29.5,48.0,34.0,Female
1996,9760,3516.0,1904,8,2007,2,4248,287.0,48.142857142857146,38.5,58.0,51.0,Male
1018,13679,3990.0,1171,13,2009,5,8671,17.0,56.25,32.0,37.0,36.0,Female
2974,16586,4574.0,1600,5,1985,1,9038,93.0,28.2,17.0,26.0,17.0,Male
3234,19038,9102.0,7486,6,2005,3,6702,2.0,24.0,24.0,24.0,24.0,Male
4995,10911,4015.0,2702,4,2011,8,1901,185.0,40.5,36.285714285714285,38.0,32.0,Female
9556,21702,7858.0,16,8,1987,4,4288,113.0,50.4,29.75,37.0,29.0,Male
1554,14800,4646.0,348,4,2009,3,8600,5.0,43.25,45.666666666666664,46.0,52.0,Female
4408,13410,5468.0,1292,4,2008,2,3534,4.0,59.25,32.5,41.0,38.0,Male
1780,11161,3401.0,1787,11,1992,6,5980,34.0,31.3,27.8,23.0,57.0,Female
344,9886,4610.0,4266,13,1988,1,4932,107.0,32.714285714285715,25.0,33.0,25.0,Male
633,14333,9453.0,9134,6,2010,2,4247,1.0,43.25,40.0,34.0,40.0,Male
4600,17588,6188.0,2969,6,2010,7,6800,43.0,42.333333333333336,36.666666666666664,30.0,28.0,Female
3472,21587,10334.0,8217,10,2005,5,7781,38.0,47.5,54.0,38.0,46.0,Male
1511,12446,4001.0,2651,15,2011,2,6934,209.0,57.38461538461539,45.0,48.0,40.0,Male
1842,7279,3402.0,2578,4,2009,4,2035,15.0,41.333333333333336,34.0,40.0,34.0,Female
9604,67548,26798.0,19138,26,1995,9,31146,84.0,54.705882352941174,53.0,52.0,37.0,Male
1688,10500,4840.0,4115,6,2002,4,3972,245.0,42.0,36.666666666666664,28.0,28.0,Male
2009,7613,3004.0,2249,12,2000,8,2600,2.0,26.333333333333332,33.8,27.0,25.0,Male
732,12522,6734.0,4100,7,2012,4,5056,3.0,35.714285714285715,28.333333333333332,36.0,34.0,Female
4532,10958,2890.0,110,9,2000,2,3536,98.0,44.0,32.0,30.0,31.0,Male
2465,18752,8208.0,6652,5,2011,5,8079,40.0,51.2,42.0,35.0,39.0,Male
2432,8820,2780.0,1278,4,2000,2,3608,201.0,36.0,26.5,25.0,32.0,Female
758,21332,9462.0,9076,8,1997,3,11112,22.0,24.6,32.0,25.0,32.0,Male
6956,30626,11150.0,7732,8,1994,5,12520,6.0,24.666666666666668,26.333333333333332,25.0,33.0,Male
1872,8196,2185.0,630,8,1993,3,4139,176.0,43.125,32.5,47.0,31.0,Male
2988,10214,2080.0,480,6,1995,5,5146,113.0,28.8,30.8,19.0,26.0,Female
3248,19270,4454.0,576,14,2003,8,11568,137.0,40.0,39.0,34.0,31.0,Female
476,10244,5318.0,4944,13,2004,2,4450,140.0,40.44444444444444,54.5,42.0,69.0,Male
4368,17663,6064.0,4030,9,1994,4,7231,41.0,38.666666666666664,39.25,39.0,21.0,Male
2009,8202,2271.0,262,10,2011,1,3922,23.0,44.75,31.0,32.0,31.0,Male
1170,11424,5298.0,4128,12,2003,1,4956,17.0,43.7,33.0,35.0,33.0,Male
3662,13154,4760.0,1486,11,2003,2,4732,11.0,46.4,30.5,45.0,36.0,Male
7932,24388,8146.0,5750,9,1995,4,8310,64.0,36.0,41.5,46.0,32.0,Female
2623,8659,2071.0,195,8,2011,4,3965,0.0,54.142857142857146,62.666666666666664,65.0,74.0,Male
713,11249,2932.0,2447,11,1996,2,7604,115.0,33.77777777777778,46.5,42.0,36.0,Male
2763,14320,3360.0,985,15,2011,3,8197,109.0,43.375,30.5,43.0,27.0,Male
613,4926,2505.0,1892,5,2006,1,1808,36.0,38.25,30.0,39.0,30.0,Male
3360,15960,8450.0,6710,7,1998,2,4150,11.0,36.0,34.5,34.0,35.0,Male
984,7086,2530.0,1792,9,1994,2,3572,105.0,40.833333333333336,33.5,32.0,26.0,Male
7214,17732,8718.0,3328,4,1999,4,1800,65.0,25.75,39.25,25.0,22.0,Male
196,17220,11254.0,11058,12,2009,1,5770,0.0,44.5,42.0,11.0,42.0,Male
1260,15296,3522.0,2372,16,1990,2,10514,378.0,35.90909090909091,22.0,35.0,38.0,Male
3246,31648,5980.0,3872,29,2008,5,22422,645.0,40.65,34.4,29.0,31.0,Male
5690,15500,6803.0,1841,8,2010,5,3007,108.0,37.75,36.5,48.0,40.0,Male
1036,23252,6572.0,5772,13,1989,3,15644,210.0,36.0,25.5,38.0,22.0,Male
3745,14573,2058.0,86,10,2010,3,8770,47.0,44.6,44.333333333333336,42.0,32.0,Male
2072,5100,1875.0,203,2,2010,2,1153,34.0,62.0,45.5,62.0,65.0,Male
667,4968,1686.0,1019,8,1998,1,2615,20.0,40.625,34.0,47.0,34.0,Male
2030,20724,6284.0,4254,15,2006,1,12410,175.0,47.72727272727273,33.0,36.0,33.0,Male
1801,5708,2736.0,1635,5,2013,5,1171,393.0,46.2,31.75,51.0,40.0,Male
3556,21982,5272.0,3814,16,1999,5,13154,7.0,32.333333333333336,29.4,22.0,56.0,Male
2660,20938,10040.0,8260,10,1995,4,8238,32.0,43.857142857142854,44.25,41.0,32.0,Male
4908,22288,8418.0,6234,10,1997,6,8962,115.0,54.0,29.2,33.0,22.0,Male
1200,15294,4104.0,3184,17,1988,3,9990,172.0,39.285714285714285,38.0,33.0,40.0,Male
1438,9399,2757.0,2149,11,1990,4,5204,242.0,45.9,38.0,35.0,34.0,Male
1370,8754,2295.0,1551,7,1982,4,5089,41.0,25.666666666666668,28.0,30.0,28.0,Male
4196,30524,6284.0,1240,8,1999,5,20044,52.0,39.857142857142854,31.6,41.0,34.0,Female
2371,4484,611.0,374,8,2001,7,1502,1.0,32.142857142857146,31.333333333333332,61.0,49.0,Female
5962,13814,3334.0,1630,6,2009,6,4518,48.0,41.5,51.5,36.0,66.0,Male
832,3558,1051.0,334,4,2011,2,1675,38.0,48.5,31.0,55.0,26.0,Male
1364,4056,1460.0,206,5,2011,2,1232,11.0,53.8,27.5,47.0,25.0,Male
7826,13630,3308.0,2766,9,1999,16,2496,18.0,39.857142857142854,37.142857142857146,17.0,29.0,Female
1716,7020,1504.0,600,10,1989,4,3800,8.0,51.111111111111114,39.0,55.0,43.0,Male
1464,17728,8002.0,6946,5,1994,2,8262,264.0,45.2,39.0,32.0,31.0,Male
685,4718,1528.0,1160,5,2007,2,2505,21.0,52.6,40.5,49.0,22.0,Male
2671,11290,7618.0,6971,3,2010,5,1001,64.0,31.333333333333332,26.6,22.0,25.0,Female
6592,23878,11194.0,9040,14,1999,10,6092,38.0,39.4,36.57142857142857,30.0,41.0,Male
718,10330,2240.0,162,7,2002,3,7372,25.0,34.5,49.0,35.0,31.0,Female
9754,24124,9158.0,2178,4,1999,6,5212,25.0,36.333333333333336,26.0,37.0,23.0,Male
4584,18784,4518.0,1106,10,1996,3,9682,154.0,42.375,31.0,34.0,32.0,Male
3302,13919,4116.0,956,10,2002,8,6501,58.0,45.285714285714285,26.5,33.0,43.0,Female
7164,16102,8938.0,1774,1,1999,1,0,150.0,69.0,30.0,69.0,30.0,Male
972,10794,1837.0,377,12,1989,4,7985,4.0,45.18181818181818,39.333333333333336,28.0,47.0,Female
500,5474,1668.0,1414,6,1981,2,3306,78.0,49.5,36.0,56.0,36.0,Male
3540,22846,8354.0,1872,6,2004,7,10952,47.0,39.5,25.5,29.0,42.0,Female
12108,22694,4356.0,792,11,1993,11,6230,3.0,43.285714285714285,38.666666666666664,53.0,21.0,Male
3944,11760,3930.0,1450,5,1997,2,3886,50.0,34.0,37.5,50.0,32.0,Male
2162,13956,5903.0,4833,9,2009,3,5891,12.0,43.22222222222222,40.666666666666664,40.0,36.0,Male
2807,13356,6705.0,4431,5,1989,3,3844,36.0,41.8,24.666666666666668,48.0,31.0,Male
8112,29106,14214.0,8512,13,2000,6,6780,122.0,45.27272727272727,32.4,36.0,34.0,Male
3284,17372,4372.0,1326,9,2005,3,9716,210.0,37.333333333333336,29.0,32.0,24.0,Male
864,12073,7005.0,6141,9,2009,1,4204,24.0,50.42857142857143,60.0,48.0,60.0,Male
286,16260,4200.0,130,12,1996,3,11774,48.0,43.714285714285715,40.0,39.0,46.0,Female
7694,19636,8940.0,6108,9,1993,4,3002,16.0,42.0,35.0,44.0,34.0,Male
1992,18274,7848.0,2042,7,2014,4,8434,133.0,39.333333333333336,34.0,23.0,20.0,Female
1080,24064,14490.0,13692,8,1998,3,8494,19.0,39.8,43.666666666666664,35.0,69.0,Male
901,14621,7633.0,7019,11,1989,2,6087,141.0,41.57142857142857,43.0,34.0,7.0,Male
1645,11906,5566.0,3921,6,2010,1,4695,103.0,50.2,36.0,36.0,36.0,Male
1147,6294,2306.0,1085,8,2003,6,2841,67.0,30.0,29.8,25.0,31.0,Female
4704,18826,6660.0,3120,13,2003,5,7462,549.0,43.23076923076923,43.75,56.0,45.0,Male
2935,12111,4993.0,3758,10,2012,4,4183,102.0,44.2,46.666666666666664,58.0,35.0,Male
9230,25338,7426.0,5386,7,1995,10,8682,8.0,34.57142857142857,27.7,34.0,35.0,Male
3612,24168,13874.0,11274,5,2007,4,6682,49.0,49.4,39.666666666666664,27.0,28.0,Male
3724,26730,12254.0,8860,17,1982,4,10752,14.0,46.0,50.0,33.0,39.0,Female
1224,7446,1777.0,399,8,2003,4,4445,118.0,37.142857142857146,32.5,24.0,23.0,Female
1154,13192,5308.0,4402,8,2000,3,6730,72.0,30.875,42.333333333333336,32.0,30.0,Male
2016,19924,8974.0,8008,9,1996,3,8934,20.0,47.25,29.0,35.0,23.0,Male
3532,13352,6352.0,4328,6,2008,4,3468,3.0,35.5,37.0,48.0,18.0,Female
2955,6904,2686.0,1557,7,2013,6,1263,17.0,32.5,33.333333333333336,26.0,43.0,Male
1350,13762,3476.0,3068,21,1993,4,8936,386.0,46.46666666666667,36.5,47.0,33.0,Male
102,13486,4862.0,4760,16,1987,1,8522,103.0,38.333333333333336,26.0,43.0,26.0,Male
7596,43768,15708.0,10928,9,2009,6,20464,60.0,35.5,27.25,43.0,37.0,Male
3588,22974,9264.0,7434,15,1997,3,10122,10.0,41.44444444444444,37.0,43.0,33.0,Male
4784,17523,7128.0,3880,10,2004,6,5611,37.0,34.44444444444444,39.0,29.0,23.0,Male
1142,4738,2462.0,2072,5,2000,3,1134,24.0,45.666666666666664,29.0,54.0,42.0,Male
1787,13375,3871.0,2303,7,2009,2,7717,10.0,56.666666666666664,60.0,78.0,60.0,Male
3092,21584,10098.0,7906,10,1995,5,8394,144.0,48.4,44.0,41.0,41.0,Male
203,4267,2341.0,2138,7,1972,1,1723,138.0,50.8,25.0,42.0,25.0,Male
8604,16158,5490.0,792,6,1990,2,2064,448.0,48.0,31.5,38.0,35.0,Male
390,9648,3284.0,2894,6,1996,1,5974,75.0,45.666666666666664,25.0,37.0,25.0,Male
2928,12632,7344.0,4526,2,2002,2,2360,45.0,45.5,25.0,52.0,36.0,Male
6416,27560,12276.0,6022,9,2001,7,8868,9.0,37.55555555555556,28.571428571428573,19.0,44.0,Female
1252,19958,6164.0,5702,13,1989,4,12542,245.0,42.833333333333336,38.666666666666664,39.0,37.0,Male
2778,18132,4508.0,1730,10,2000,1,10846,303.0,47.77777777777778,35.0,26.0,35.0,Male
1566,13756,2594.0,534,11,1999,4,9596,28.0,28.25,25.25,20.0,29.0,Female
2756,22344,11972.0,9898,7,1998,3,7616,11.0,46.0,53.5,59.0,55.0,Male
3352,22164,7408.0,4056,6,1997,1,11404,261.0,43.8,27.0,46.0,27.0,Male
0,3270,2580.0,1890,1,2013,1,690,293.0,63.0,49.0,49.0,63.0,Female
8032,16948,4500.0,300,9,1990,2,4416,27.0,48.44444444444444,35.5,24.0,39.0,Male
1598,5918,1934.0,850,4,2004,4,2386,154.0,43.333333333333336,28.75,27.0,31.0,Female
2180,12286,2328.0,622,11,1995,2,7778,15.0,27.75,30.5,32.0,20.0,Male
5987,21835,6581.0,4646,9,2011,8,9267,49.0,44.111111111111114,43.2,43.0,37.0,Male
2313,10274,3409.0,1297,8,2011,4,4552,44.0,50.4,27.25,17.0,43.0,Female
12596,31430,8904.0,2636,13,1986,4,9930,94.0,49.7,37.0,51.0,38.0,Male
3472,16058,2740.0,1044,18,2005,5,9846,393.0,39.27777777777778,38.2,16.0,15.0,Male
5146,13486,5326.0,3300,4,1999,5,3014,156.0,46.5,40.2,32.0,31.0,Female
6148,11216,4912.0,4756,1,1994,7,156,6.0,22.0,30.333333333333332,17.0,22.0,Female
2964,7244,2074.0,576,4,1987,2,2206,32.0,34.666666666666664,26.5,45.0,21.0,Male
12226,18481,4304.0,3203,4,2011,12,1951,186.0,38.333333333333336,42.666666666666664,23.0,27.0,Female
10146,41260,24376.0,17822,7,2000,7,6738,44.0,30.5,31.5,34.0,29.0,Male
342,4728,2143.0,1960,9,1986,2,2243,13.0,39.375,34.0,29.0,24.0,Male
3058,7948,2348.0,1071,4,2006,4,2542,55.0,35.0,31.5,30.0,30.0,Male
2768,21736,4730.0,3476,13,2005,5,14238,69.0,42.61538461538461,32.0,34.0,25.0,Male
6032,15498,5292.0,700,4,2000,3,4174,118.0,41.75,33.333333333333336,42.0,37.0,Male
1125,9442,3463.0,2607,6,2011,3,4854,129.0,48.5,38.0,36.0,42.0,Male
7220,19300,6672.0,3200,8,1998,5,5408,139.0,56.4,41.6,62.0,14.0,Male
325,15173,7990.0,7665,6,2010,1,6858,239.0,32.333333333333336,37.0,28.0,37.0,Male
1250,7888,3484.0,2444,8,2014,2,3154,188.0,37.0,43.0,32.0,45.0,Male
1903,10597,3985.0,2832,10,1991,3,4709,35.0,48.0,33.333333333333336,36.0,33.0,Male
2474,12188,6422.0,3130,1,2001,3,3292,1.0,34.0,40.333333333333336,33.0,34.0,Female
2677,12914,4422.0,2163,6,2011,2,5815,60.0,29.333333333333332,25.0,21.0,25.0,Male
3352,15268,6436.0,4210,8,2001,6,5480,61.0,41.0,35.333333333333336,43.0,46.0,Female
881,9135,5782.0,5150,4,2009,3,2472,2.0,42.5,42.0,47.0,37.0,Male
472,7650,2422.0,528,7,1998,2,4756,74.0,40.57142857142857,22.0,19.0,24.0,Female
11408,26450,8582.0,4918,6,1994,8,6460,21.0,43.25,29.333333333333332,53.0,44.0,Male
4254,15000,3472.0,1356,10,1997,7,7274,14.0,30.11111111111111,33.833333333333336,41.0,22.0,Female
2724,14610,4154.0,1798,8,2009,3,7732,8.0,44.857142857142854,21.0,80.0,21.0,Male
4682,12229,4215.0,1622,6,2001,4,3332,55.0,50.0,46.333333333333336,53.0,52.0,Male
7050,28758,5538.0,2544,11,2009,5,16170,2.0,42.8,42.8,51.0,61.0,Male
908,13314,6580.0,5672,8,2010,1,5826,323.0,44.75,35.0,36.0,35.0,Male
1192,7466,3150.0,2140,8,1987,2,3124,57.0,43.375,33.5,33.0,26.0,Male
1614,22802,9068.0,8256,13,1999,3,12120,49.0,52.4,45.0,59.0,47.0,Male
4351,7989,2362.0,73,4,2010,4,1276,59.0,33.666666666666664,46.25,37.0,31.0,Male
3410,14388,5360.0,3248,9,2002,4,5618,100.0,42.25,28.666666666666668,62.0,28.0,Male
3610,21372,10540.0,7452,4,1994,5,7222,218.0,34.0,24.2,31.0,12.0,Male
6432,18636,6386.0,1924,8,2007,7,5818,23.0,46.2,28.4,22.0,23.0,Male
7876,20010,6854.0,3170,5,1997,4,5280,11.0,33.2,34.5,23.0,20.0,Male
290,6824,2594.0,2411,12,2009,2,3940,43.0,50.666666666666664,33.5,72.0,28.0,Male
888,6753,4007.0,2716,5,2011,4,1858,32.0,57.6,47.5,62.0,62.0,Female
1226,9488,4539.0,1866,5,2009,6,3723,131.0,37.6,42.6,60.0,51.0,Female
3013,10203,4634.0,3013,4,2005,2,2556,8.0,46.0,31.5,32.0,20.0,Male
13054,39038,11788.0,1472,8,1997,4,14196,75.0,46.375,35.75,49.0,48.0,Male
3718,16338,4924.0,190,5,2011,8,7696,12.0,40.4,35.142857142857146,22.0,34.0,Female
835,7068,2555.0,1985,7,1975,3,3678,1103.0,41.333333333333336,51.333333333333336,48.0,38.0,Male
1641,7461,2507.0,1940,12,1978,6,3313,382.0,32.54545454545455,32.0,46.0,41.0,Male
4838,23822,9970.0,8122,20,2001,6,9014,46.0,31.5,30.4,27.0,21.0,Male
2564,21380,10636.0,8948,10,1992,2,8180,23.0,38.5,32.0,36.0,22.0,Male
6570,19312,10216.0,5844,8,1996,5,2526,303.0,28.75,26.5,34.0,27.0,Male
6772,57524,28102.0,25822,27,1991,7,22650,145.0,47.26086956521739,35.0,36.0,42.0,Male
3262,11246,2755.0,1322,10,1995,5,5229,69.0,45.77777777777778,42.25,49.0,30.0,Male
5682,22448,11628.0,8540,4,2007,8,5138,180.0,32.666666666666664,28.666666666666668,20.0,38.0,Female
1941,11329,2550.0,1116,11,1993,2,6838,844.0,41.63636363636363,20.0,46.0,26.0,Male
1597,6384,2608.0,1225,3,1993,3,2179,5.0,34.0,28.0,30.0,28.0,Male
3916,9836,4010.0,2540,5,1995,8,1910,14.0,20.666666666666668,18.666666666666668,17.0,16.0,Male
1441,15187,5040.0,4255,10,2010,2,8706,153.0,58.0,42.5,50.0,44.0,Male
3360,18967,8665.0,6045,12,2007,5,6942,188.0,30.833333333333332,25.0,25.0,35.0,Male
1058,11016,4456.0,3640,7,2008,2,5502,260.0,47.285714285714285,36.5,39.0,33.0,Male
898,13956,4126.0,982,4,1999,3,8932,54.0,43.0,45.666666666666664,35.0,39.0,Female
486,3747,1396.0,910,4,2005,1,1865,27.0,48.666666666666664,30.0,36.0,30.0,Male
3233,12967,3056.0,15,11,2011,9,6678,39.0,48.0,43.0,44.0,55.0,Female
4380,11012,5202.0,2242,7,2008,6,1430,18.0,46.8,46.166666666666664,71.0,49.0,Male
240,15468,6216.0,5976,7,2003,1,9012,160.0,46.0,27.0,41.0,27.0,Male
2666,18930,4478.0,518,7,2009,3,11786,7.0,49.0,43.0,64.0,80.0,Female
206,9078,7066.0,5754,5,1995,2,1806,64.0,43.2,32.0,32.0,37.0,Female
3079,13831,3211.0,2391,14,2012,6,7541,162.0,38.77777777777778,34.4,44.0,30.0,Male
1282,14996,5446.0,5022,9,1987,5,8268,145.0,45.0,33.75,41.0,35.0,Male
2096,20280,6794.0,5162,8,1998,4,11390,241.0,49.125,50.0,42.0,44.0,Male
444,28192,9956.0,9650,21,1999,2,17792,109.0,40.11764705882353,29.0,38.0,28.0,Male
6262,21036,7082.0,3658,10,2001,4,7692,23.0,34.333333333333336,35.75,54.0,41.0,Male
289,4536,1935.0,1646,6,2012,1,2312,136.0,29.333333333333332,42.0,19.0,42.0,Male
1474,11310,6226.0,5408,8,1992,2,3610,2.0,38.333333333333336,35.5,37.0,44.0,Male
3416,18272,7700.0,4452,8,1999,2,7156,5.0,47.857142857142854,49.5,61.0,53.0,Male
1858,10090,6927.0,6062,6,2011,4,1305,86.0,42.666666666666664,37.0,36.0,29.0,Male
1716,8809,1314.0,96,20,2012,4,5779,198.0,52.666666666666664,54.25,63.0,66.0,Male
3303,19192,9278.0,7927,12,2011,6,6611,63.0,44.2,39.666666666666664,42.0,47.0,Male
121,2518,681.0,560,8,1994,1,1716,880.0,47.25,39.0,46.0,39.0,Male
2418,15332,4452.0,3326,18,2000,5,8462,63.0,48.64705882352941,42.5,34.0,32.0,Male
7582,21638,7736.0,4220,7,1995,4,6320,2.0,34.4,45.333333333333336,38.0,36.0,Male
9202,31890,5560.0,2198,28,1996,11,17128,26.0,46.1764705882353,48.0,45.0,37.0,Male
2879,13185,4870.0,2162,7,2012,2,5436,72.0,38.6,32.5,31.0,29.0,Male
1950,11490,3976.0,2334,11,1995,2,5564,26.0,41.75,23.5,41.0,12.0,Male
1530,19218,13478.0,12060,9,2005,2,4210,32.0,50.4,34.0,41.0,34.0,Male
648,2624,1572.0,1168,1,2003,3,404,64.0,29.0,23.0,19.0,29.0,Female
1504,8760,2996.0,196,4,2000,6,4260,44.0,30.75,28.333333333333332,14.0,14.0,Female
1554,8616,4209.0,3228,7,2011,3,2853,0.0,39.666666666666664,48.0,42.0,35.0,Male
8466,40928,6834.0,4594,23,1999,12,25628,38.0,44.888888888888886,36.888888888888886,37.0,39.0,Male
4692,24842,6724.0,4178,13,1989,4,13426,109.0,42.2,37.0,40.0,39.0,Male
1356,9470,3230.0,2490,14,1999,4,4884,59.0,42.5,31.0,55.0,35.0,Male
2397,14890,8864.0,7658,4,1993,5,3629,23.0,58.25,55.5,58.0,42.0,Male
1107,11613,2502.0,1904,7,2011,4,8004,5.0,43.0,47.0,52.0,49.0,Male
4886,13976,5708.0,3186,4,2007,4,3382,2.0,47.333333333333336,33.0,40.0,38.0,Female
6367,16373,7954.0,3797,5,2008,10,2052,173.0,38.8,36.0,40.0,39.0,Male
2404,6489,2012.0,1103,4,2011,4,2073,3.0,37.0,25.25,37.0,36.0,Female
4618,25492,11000.0,6382,5,1998,1,9874,82.0,50.8,27.0,61.0,27.0,Male
3646,19518,10642.0,7428,3,2000,2,5230,41.0,40.333333333333336,39.0,33.0,33.0,Male
2047,7890,2801.0,1368,6,2006,3,3042,84.0,39.833333333333336,32.333333333333336,30.0,41.0,Male
0,4634,1607.0,225,4,1997,1,3027,48.0,41.5,30.0,30.0,36.0,Female
1710,13788,4107.0,3102,13,2002,3,7971,197.0,38.90909090909091,43.666666666666664,40.0,72.0,Male
1162,11184,4822.0,4304,8,2008,4,5200,37.0,44.5,36.666666666666664,42.0,32.0,Male
807,4437,2438.0,1916,3,1990,2,1192,126.0,60.0,63.0,50.0,66.0,Male
1720,15066,5104.0,4074,11,1996,4,8242,356.0,44.3,40.666666666666664,34.0,59.0,Male
3346,19598,5624.0,2278,8,2000,1,10628,347.0,43.625,28.0,38.0,28.0,Male
889,3164,1486.0,597,5,2001,1,789,48.0,27.5,35.0,46.0,35.0,Male
3288,18472,5344.0,2056,9,1987,7,9840,179.0,53.285714285714285,48.333333333333336,41.0,23.0,Female
4068,14626,4336.0,694,7,1997,4,6222,17.0,52.0,63.0,55.0,63.0,Male
3560,13484,4594.0,1566,10,1998,3,5330,224.0,50.4,46.0,37.0,35.0,Male
3274,12458,5088.0,3960,11,2001,6,4096,11.0,49.333333333333336,46.166666666666664,33.0,38.0,Female
7624,27086,10782.0,7120,10,1999,7,8680,7.0,38.375,30.4,30.0,35.0,Male
4392,21738,12210.0,10336,8,1999,8,5136,25.0,24.0,35.833333333333336,50.0,40.0,Female
0,2173,1160.0,466,3,1995,1,1013,2.0,43.5,29.0,29.0,51.0,Female
4022,22762,5025.0,694,14,2011,7,13715,16.0,52.0,45.0,31.0,29.0,Female
2032,13018,2778.0,1700,10,1999,3,8208,50.0,40.9,35.666666666666664,34.0,28.0,Male
3440,18402,8010.0,4830,7,1999,9,6952,95.0,35.0,26.0,24.0,31.0,Female
1921,6841,2672.0,1412,8,2010,5,2248,23.0,47.142857142857146,38.4,46.0,36.0,Male
4076,14330,4436.0,2980,5,1995,4,5818,16.0,50.75,32.0,32.0,37.0,Male
0,1658,789.0,430,4,1993,1,869,157.0,40.333333333333336,39.0,39.0,41.0,Female
2563,7167,3526.0,2705,4,2009,5,1078,22.0,48.75,43.2,52.0,75.0,Male
381,7089,2483.0,527,5,2009,3,4225,44.0,41.75,47.5,33.0,42.0,Female
5146,15363,6350.0,1204,10,1939,1,3867,45.0,49.8,34.0,38.0,34.0,Male
992,7927,5267.0,4611,3,2011,4,1668,77.0,48.666666666666664,35.666666666666664,30.0,64.0,Female
1988,14720,8468.0,7520,7,1999,4,4264,198.0,35.714285714285715,35.0,39.0,35.0,Male
6649,14390,3659.0,481,9,2000,9,4082,40.0,46.44444444444444,37.25,63.0,31.0,Male
5007,11671,6664.0,3102,1,2013,2,0,95.0,51.0,33.0,51.0,32.0,Male
4408,31942,19892.0,18182,7,2009,4,7642,27.0,33.666666666666664,43.5,27.0,58.0,Male
1046,20248,5222.0,4176,13,2001,1,13980,281.0,41.4,34.0,40.0,34.0,Male
906,18760,3230.0,650,13,2004,3,14624,176.0,42.916666666666664,36.0,35.0,43.0,Female
1420,17148,5646.0,4384,14,1999,2,10082,18.0,39.166666666666664,28.0,32.0,30.0,Male
3228,9715,3076.0,745,8,2013,4,3411,0.0,33.0,41.5,33.0,53.0,Male
5940,19630,7794.0,3048,5,1980,4,5896,177.0,25.75,43.666666666666664,20.0,44.0,Male
6428,30354,9494.0,3476,14,1998,2,14432,69.0,41.45454545454545,31.0,37.0,29.0,Male
2126,10265,4234.0,2108,3,2009,1,3905,11.0,45.666666666666664,28.0,55.0,28.0,Male
3324,14073,5240.0,3760,7,2012,5,5509,61.0,33.4,46.4,16.0,27.0,Male
1884,15570,5189.0,3305,10,2011,1,8497,41.0,37.875,38.0,29.0,38.0,Male
2767,9847,4618.0,3140,6,2012,5,2462,19.0,27.333333333333332,32.8,20.0,22.0,Male
2321,5845,3057.0,1854,3,1989,2,467,126.0,21.0,20.5,30.0,9.0,Male
816,13556,7076.0,6712,12,1993,4,5664,162.0,55.875,38.5,39.0,63.0,Male
1464,13776,10332.0,9604,5,2002,3,1980,69.0,36.2,31.0,26.0,29.0,Male
2578,10506,2804.0,2082,10,2002,6,5124,48.0,42.0,42.0,29.0,28.0,Male
3470,9110,3558.0,1894,4,1993,4,2082,84.0,50.666666666666664,36.0,46.0,11.0,Male
1602,14648,8370.0,7654,10,2008,4,4676,105.0,39.77777777777778,42.0,30.0,22.0,Male
486,12286,3944.0,330,5,2000,2,7856,63.0,34.75,27.5,27.0,25.0,Female
